Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Customer Insight Analyst,Employer Provided Salary:$65K - $70K,"Position: Customer Insight Analyst
Location: Remote (with some travel required to the office)
Duration: Temp-Perm
Pay rate: $65 - $70k/yr
Duties & Responsibilities:
· Represent the voice of the consumer across the Clarus Commerce organization
· Partner with internal teams to uncover insights to inform best product, sales, and client management practices with the consumer interests in mind
· Conduct evocative primary and secondary qualitative (interviews, focus groups, card sorts etc.) and quantitative(surveys) research to promote decisions
· Continually improve and refine how we get better at understanding audiences and connecting with them
· Leverage a variety of primary and secondary data sources to collect information, analyze data, summarize findings, produce reporting with insights and recommendations
· Establish key cross-functional relationships, including Marketing & Communications, Client Services, Sales, and Marketing Analytics, to establish clear research objectives, provide consultation, interpret findings, and provide insights and recommendations via deliverables that are aligned to the original request requirements; provide strategic insights to discussions requiring data-driven decision making
· Continually monitor customer and industry trend
Ideal Skills & Requirements:
· Bachelor’s degree in psychology, statistics, sociology, political science, survey research or similar and 3+ years of experience in consumer insights and/or market research. Or a master’s degree and 1 year of experience. Or PhD degree (graduate students in the ABD status will be considered for the role, pending weekly full-time commitment)
· Experience in both custom qualitative and quantitative research whether in corporate or academic setting, including the ability to design, own, and execute all steps in the project process from start to finish
· Team player who is ready to partner cross-functionally within the organization
· Strong analytical skills. Ability to explain statistical concepts like significance testing, correlation, and regression, as well as perform them with tools like SPSS, R, or Stata.
· Ability to translate complex analysis and learnings into digestible actions and decisions.
· Qualtrics experience is a plus
· Connecticut location or within a commute distance to office preferred but not required
Job Types: Full-time, Temporary
Pay: $65,000.00 - $70,000.00 per year
Schedule:
10 hour shift
Application Question(s):
Please provide a personal email address and phone number:
Briefly describe your experience with both custom qualitative and quantitative research:
Do you feel you are able to explain statistical concepts such as significance testing, correlation and regression, as well as perform them with tools like SPSS, R, or Stata:
Education:
Bachelor's (Required)
Experience:
Market research: 3 years (Required)
Qualtrics: 1 year (Preferred)
Statistics: 3 years (Required)
Work Location: Remote",2.9,"Premier Staffing Solution
2.9",Remote,1 to 50 Employees,-1,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Reporting Data Analyst,Employer Provided Salary:$60.00 Per Hour,"Must sit in WA, OR, CA, TX, or MT
Duration: 4-6 month contract with possible conversion or extension
Day-to-Day:
An employer is seeking a Reporting Analyst in the remote area. This person will be reporting to the revenue cycle management team within data insights. They will be interacting with a small group of two-three people daily. The Reporting Analyst will be responsible for developing, pulling, and creating reports utilizing Tableau and PowerBI. They will be working primarily in SQL. This person will be focused on the whole revenue lifecycle management, including the front, middle, and back. The ideal candidate would have a solid ability to think strategically and communicate their efforts effectively to others.
Job Type: Full-time
Pay: Up to $60.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Vision insurance
Schedule:
5x8
8 hour shift
Monday to Friday
No weekends
Application Question(s):
How many years of data/reporting analytics experience do you have?
Do you have experience with PowerBi or Tableau?
Do you have experience working in a healthcare environment?
Do you have experience with financial or revenue cycle data?
Do you have experience developing and building reports?
Do you have experience with SQL?
Work Location: Remote",4.0,"Insight Global
4.0",Remote,1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD)
Warranty Data Analyst,Employer Provided Salary:$25.00 - $30.00 Per Hour,"Warranty Data Analyst
Estimated Duration: 6 month assignment
Hourly Pay Rate: $25.00 - $30.00 an hour
Work Schedule: 8 AM -5 PM or 9 AM -6 PM (Monday -Friday)
In person training and then Hybrid after training.
Essential Functions/ Responsibilities:
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Supporting the warranty analysis and review process/forecasts
In depth and detail analysis of various data sets related to warranty renewal process
Analyzing various reports relates to warranty data and details
Generating and communicating internal management reporting, including business metrics
Revenue forecasting in coordination with sales and operations related to warranty details
Assist with profitability models (if applicable based on warranty details and revenue)
Creation of databases and an effective data collection and distribution process ? Research, analysis, and presentation of data for ad hoc reports
Assist with internal and external audit process (warranty data content)
Competencies / Skills Requirements:
SAP- Preferred
Microsoft Office
Intermediate to expert Excel knowledge; must be comfortable with v-lookups and pivot tables
Multi-dimensional reporting systems preferred
Excellent analytical skills
Ability to conduct 1:1 meetings with senior management including c-suite
Ability to manage large amounts of data
Dynamic and accurate
Discretion Supervisory Responsibility: This position does not have direct supervisory responsibilities. Required Education/Experience Requirements:
Bachelor of Business Administration (BBA), required
Up to 1 year of financial planning and analysis experience
Knowledge of IFRS, preferred but not required
Job Types: Contract, Temporary
Pay: $25.00 - $30.00 per hour
Benefits:
Life insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Ability to commute/relocate:
Alpharetta, GA 30005: Reliably commute or planning to relocate before starting work (Required)
Experience:
Financial planning & analysis: 1 year (Preferred)
Work Location: Hybrid remote in Alpharetta, GA 30005",4.8,"Focus of Georgia
4.8","Alpharetta, GA",501 to 1000 Employees,1994,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Data Analyst-I Opening #424458,Employer Provided Salary:$28.03 - $36.36 Per Hour,"**C2C is not available**
**Only U.S. Citizens and those authorized to work in the U.S. can be considered as W2 candidates.**
Job Title: Data Analyst-I
Duration: 12 Months
Location: Lakewood, CO
(Possible for some telecommuting 2 days/weeks (Mon/ Fri remote; T, W, T in office)
Description:
Inputs information from a variety of sources into a computer database.
Must meet standards for production volume, accuracy, and completeness.
Generates reports based on input data.
Requires strong attention to detail, and good communication skills, and the ability to work well under various stressful and time-sensitive situations.
Ability to follow instructions without supervisory follow-up.
Experience with MS Office.
Must be proficient in Excel with attention to detail.
**Please note that all Position start dates and duration are estimates and may be reduced or lengthened based upon a client’s business needs and requirements.**
Rose International is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender (expression or identity), national origin, arrest and conviction records, disability, veteran status or any other characteristic protected by law. Positions located in San Francisco and Los Angeles, California will be administered in accordance with their respective Fair Chance Ordinances.
Job Types: Full-time, Contract
Pay: $28.03 - $36.36 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Referral program
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Lakewood, CO 80227: Reliably commute or planning to relocate before starting work (Preferred)
Experience:
SQL: 1 year (Preferred)
MS Office: 1 year (Preferred)
Work Location: One location",4.2,"Rose International
4.2","Lakewood, CO",1001 to 5000 Employees,1993,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Junior Data Analyst,Employer Provided Salary:$51K - $85K,"Leading multi-state Personal Injury Law Firm seeks
Junior Business Analyst
Responsibilities
· Become a subject-matter expert on internal datasets, key performance metrics, with special focus on ad-tech channels and drivers of client value based modeling
· Mine data for insights, remarketing and improvements to continually enhance prospect and member journeys ·
· Partner with marketing stakeholders to design, develop and execute lifecycle marketing journeys and the occasional one-off campaign
Connect audiences to targeted media across multiple channels (TV, social media, Google ads, email, direct mail, online)
Launch, measure and report on A/B and multivariate tests to improve program performance across key indicators
Implement improvements to better track clients and potential clients across multiple touchpoints along the customer journey
Providing follow up analysis at pace to keep the overall marketing department and other cross-functional teams up to date with updated metrics
Present insights from quantitative analysis and models to a non-technical audience ·
Build and maintain dashboards to enable close monitoring of paid marketing programs, new customer performance and identify opportunities to optimize a multimillion-dollar marketing budget across multiple channels.
Develop consistent approaches and methodologies, automate repeatable tasks and drive process efficiencies
Education
Bachelor's degree with major in mathematics, economics, statistics or business analytics
Required Experience
Database querying using SQL (or similar query language)
Data mining and statistical packages such as R/Python
Salesforce
Background in Google Analytics, SEMRush, Ahrefs, Google Ads, Google Dashboards and Tableau
Job Type: Full-time
Pay: $50,771.85 - $85,045.36 per year
Benefits:
401(k)
Dental insurance
Health insurance
Health savings account
Paid time off
Vision insurance
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
Experience:
SQL: 1 year (Preferred)
Work Location: Multiple Locations",-1,Professional Services,"New York, NY",-1,-1,-1,-1,-1,-1
Data Analyst,Employer Provided Salary:$90K,"Data Analyst - Minimum 2 years’ experience in data analysis position
InnoVet Health is a Service-Disabled Veteran Owned Small Business (SDVOSB) that provides health IT and professional services to the Department of Veterans Affairs (VA). We are looking for a Data Analyst with 2+ years of experience to work as part of an Independent Verification and Validation (IV&V) test team to support a Federal Government project. As a data analyst you will turn project requirements into data reports and facilitate different aspects of the business intelligence process as needed (including data collection, queries, analysis, and presentation). This position will also include test preparation and test execution supporting the IV&V test team, as needed. The position offers stimulating projects, in a rich VA financial services environment, interacting with senior staff. It is full-time and does not require relocating (work from home). The pay, benefits, and growth potential are competitive.
Responsibilities
Understand the day-to-day issues that our business faces, which can be better understood with data
Compile and analyze data related to business' issues
Develop clear visualizations to convey complicated data in a straightforward fashion
Develop and execute SQA scripts for functionality, regression, integration API, accessibility and negative testing
Responsible for conducting both recurring and ad hoc analysis for business users.
Work as an Agile team member, including the use of JIRA and XRAY.
Present and discuss results. Facilitate meetings.
Execute testing as part of the IVV testing team
Qualifications
Bachelor's or Master's degree in data science or equivalent field
2+ years data analysis experience
2+ years of testing experience
Proficient in SQL, TOAD, Microsoft SQL server management studio, Oracle
Federal Financial Systems experience a plus
MUST HAVE GREEN CARD OR US CITIZENSHIP. No Visa sponsorship is possible.
- No 1099, Corp-to-Corp, international outsourcing, or staffing agencies.
- We are a Veteran-friendly company
Employment Type: Full-time
Salary: 90k+ based on experience
Job Type: Full-time
Pay: From $90,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Bonus pay
Application Question(s):
This position requires US citizenship or green card. Do you qualify?
Education:
Bachelor's (Required)
Experience:
Oracle: 2 years (Required)
SQL: 2 years (Required)
Data analytics: 2 years (Required)
Software testing: 2 years (Required)
Work Location: Remote",-1,"innoVet Health, LLC",Remote,-1,-1,-1,-1,-1,-1
Quantitative Business Analyst - Strategic Data Solutions,-1,"Summary
Posted: Jun 30, 2022
Weekly Hours: 40
Role Number:200244291
Apple’s Strategic Data Solutions (SDS) team leads efforts to mitigate monetary losses, optimize various business processes, and improve the customer journey across our Wallet programs. Our team applies data science and machine learning to drive strategic impact across multiple lines of business at Apple. We are looking for an outstanding analyst who is interested in working closely with Wallet partner teams; understanding their processes and analytic needs; and developing technical solutions along the way. They will sit side-by-side with our data scientists and analyze complex business problems, have access to internal and external data sources, and be expected to communicate relevant insights to senior leadership and key decision-makers. The ideal candidate works well in collaborative environments with minimal formal structure and is comfortable in changing environments with competing priorities. They must possess solid business acumen, a strong quantitative / technical background, natural curiosity, and the ability to effectively shift between communications styles based on the audience (technical peer review through leadership update). This position is based in Austin, TX.
Key Qualifications
At least 3-5 yrs experience working as a data/business analyst, auditor, or related role
Competent with SQL and big data systems and tools
Programming skills in Python
Data visualization
Experience applying analytical techniques to provide solutions to real business problems
Experience eliciting business requirements and executive metrics
Experience building business cases and project plans
Strong interpersonal skills with ability to connect and develop strong partnerships
Strong verbal / written communication skills
Creativity to go beyond current tools to deliver best solution to the problem
Inquisitiveness and a desire for continued self-improvement and development of new skills
Comfort working independently and making key decisions on projects
Ability to tell meaningful and accurate stories with data
Background in finance auditing and payments
Description
• Support discovery of business problems • Analyze and interoperate new sources of data • Perform ad-hoc and reoccurring statistical analyses • Work with data warehouse architects and software developers to generate seamless business intelligence solutions for business partners • Present results of analyses to business units
Education & Experience
• BS / MS in technical field (math, statistics, engineering, computer science, analytics, or similar)
Additional Requirements",4.2,"Apple
4.2","Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Business Intelligence Analyst,Employer Provided Salary:$65K,"It’s our people that make Shoes For Crews special! We hire talented people who support our values and provide training and coaching to our crew to meet their career objectives. Our success comes from great team work and exceptional individual effort. We strive to reward collaboration and recognize accomplishments in an environment of mutual support and respect. It’s much more than a great place to work, it’s where our crew looks forward to Monday, not Friday.
What You Will Love About US
Great Company Culture-Awarded one of the TOP companies to work for
Competitive salary
Generous Health Benefit Package (some at NO cost)
Prepare for the future-401(k) (with 3% match)
Paid vacation, holidays, and sick leave
Hybrid and remote schedules
Employee recognition platform
Employee discounts (Including a FREE pair of shoes
Wellness program
Robust onboarding program
QUPID Committee
Engagement Committee
Our mission is to keep the workforce safe on the job with comfortable, quality protective footwear solutions—reducing accidents and saving money!
Shoes For Crews, LLC (SFC) is a dynamic designer, manufacturer and business-to-business marketer of the most technologically advanced, top-rated slip-resistant footwear for the foodservice, hospitality, industrial, and healthcare workplaces. SFC protects over 3.5 million workers per year in over 120,000 workplaces from slip and fall accidents. For over 30 years, the Company has built its reputation through innovative product development technologies, proprietary manufacturing, and distinct niche marketing.
The Business Intelligence Analyst will work with all departments to support their enterprise data analysis and reporting needs as it relates to the BI tools and interfaces; the BI analyst’s main function will be to develop reports, dashboards and advanced visualizations that are used for business decision-making. The BI Analyst will collect, analyze and interpret data and make suggestions to move forward. The BI Analyst will also work on training and documentation that will enable business teams to acquire data in a secure environment.
DUTIES AND RESPONSIBILITIES:
Maintain and improve existing set of standard reports, dashboards and advanced visualizations in Tableau; develop more specialized requests as needed to fulfill business requirements and meet specific project demands.
*
Proactively learn each department’s goals and strategy and provide support and insights through data. Empower decision-making!
*
Train and support users – promote the vision of a self-service BI model.
*
While evaluating business needs, recommend new reporting tools, enhancements, and data sources to help the business achieve its goals.
*
Administer our reporting environment, including user permissions, file management, data refresh management, and application upgrades.
POSITION EXPERTISE/QUALIFICATIONS:
Bachelor's degree; Computer Science, MIS, Engineering, or Finance.
Must be proficient in all MS Office applications (Excel, Word, PowerPoint and Access) with advanced Excel spreadsheet skills
Must have prior experience with data visualization tools, especially Tableau. Ability to write SQL queries is helpful.
General understanding of financial reporting (P&L, Balance Sheet, Cash flows, and G/L Accounts)
Roll-up-the-sleeves attitude and a hands-on approach
Excellent communication skills; ability to bridge the gap between data and business knowledge and insights with clear, concise language
Strong desire to teach and coach fellow employees; team-first mentality!
Well organized; able to prioritize and coordinate tasks and projects
Strong conceptual, analytical and problem-solving ability
Shoes For Crews is proud to be an equal opportunity employer committed to hiring a diverse and inclusive workforce. Shoes For Crews provides equal employment opportunities to all employees and employment applicants without regard to unlawful considerations of sex, sexual orientation, gender (including gender identity and/or expression), pregnancy, race, color, creed, national or ethnic origin, citizenship status, religion, disability, marital status, age, genetic information, veteran status or any personal attribute or characteristic that is protected by applicable local, state, or federal laws.
Job Types: Part-time, Full-time
Pay: $65,000.00 per year
Benefits:
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Weekend availability
Supplemental pay types:
Bonus pay",4.6,"SHOES FOR CREWS
4.6","Boca Raton, FL",201 to 500 Employees,1984,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,$100 to $500 million (USD)
Senior Market Research Data Analyst - Real Estate (Remote or HYBRID),$53K - $87K (Glassdoor est.),"LOCATION 1830 Route 130 North Burlington NJ US 08016
Overview
Bring your market research experience to our growing Fortune 500 retail company and certified Great Place to Work! Burlington Stores is a nationally recognized retailer of high quality, branded merchandise at everyday low prices, with over 800 stores in 45 states and Puerto Rico, and we are seeking an experienced retail real estate professional to join our team.
As the Senior Real Estate Market Research Analyst, you will lead in-house market research studies to support BURL growth and to analyze our existing store network and gain a deep understanding of demographic, competitor, and related industry dynamics. This role is instrumental in ensuring the quality and viability of Real Estate investment decisions and works closely with all levels of the organization and must be able to clearly present complex information and insights to leadership.
Responsibilities include:
Manage both in house and outsourced market research projects from inception to presentation. Conduct various ad hoc analyses and special reports.
Provide strategic insights concerning trade area creation, overlaps and voids, business generation and cannibalization.
Manage research methodologies and provide relevant interpretation including written and statistical real estate, economic, demographic, financial and location analysis.
Guide projects with internal and external sources to obtain pertinent information needed to support site research and site presentations. Be familiar with all aspects of each proposal.
Prepare and present a comprehensive market overview, surrounding store review, competitive positioning overview, and sales projection review to the Real Estate Committee monthly.
Qualifications:
7+ years relevant experience, market planning or site analysis in the retail environment experience preferred.
Ability to solve practical problems by choosing and effectively applying appropriate mathematical/statistical technique.
Strong analytical and problem-solving skills with abilityto understand business concepts and financial analyses.
Experience with SQL, Python and/or R
Experience building dashboards with Tableau or PowerBI preferred
Statistical techniques such as regression, hypothesis testing, multivariate analysis
Strong coding skills and knowledge in data structure & algorithms
Advanced user of Microsoft Suite (Word, Excel, PowerPoint and Access) or related software. Experience with statistical software & Power BI/Tableau is a plus.
Burlington is committed to being an employer of choice. We offer a competitive wage and comprehensive benefit package including a generous paid time off plan, a company matched 401(k) and an associate discount. Burlington associates make a difference in the lives of customers, colleagues, and the communities where we live and work through various social responsibility initiatives. As a growing company, we offer high-performing, motivated associates a variety of professional development and career growth opportunities. Burlington Stores, Inc. is an equal opportunity employer committed to workplace diversity.
\#LI-JL1
Posting Number 2022-184391
Location US-NJ-Burlington
Address 1830 Route 130 North
Zip Code 08016
Workplace Type Remote
Position Type Regular Full-Time
Posted Date 7/25/2022 2:39 PM
Career Site Category Corporate
Position Category Real Estate/Store Development
Evergreen Yes",3.2,"Burlington Stores
3.2","Burlington, NJ",10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 billion (USD)
NC or GA Remote Analyst I-Engineering,-1,"About the Role:

This position is perfect for an individual with lots of energy and desire to learn in a very challenging, fast-paced work environment. Candidates must possess strong written and verbal communication skills, and high analytical skills. Candidates will be using Microsoft Office products and should possess intermediate level skill with Excel and Word. Other Windstream tools include: GIS mapping software, SIS Change Management application, Video Inspection application (Talonview), EPM, Job Trac, Outsourcing Application, and other internal Windstream systems.

What You’ll Do:

Support Staff Manager and Managers daily.

Tracking and Reporting on various Jobs that is within Planning, Engineering, or Construction Phases.

Auditing OSP job closeout package, including invoices.

Other ILEC Engineering/OSP support activities as assigned.




Qualifications -

Do You Have?

The ability to provide accurate, timely, and concise updates both verbally and written.

The ability to be organized and be able to maintain several data lists at a time updating them daily.

The ability to remain focused and multi-task in a fast-paced environment, performing required duties within specified timelines

The Analyst will be required to analyze data and provide recommendations on appropriate courses of action

The Analyst must maintain a professional demeanor when communicating in all forms including, but not limited to: E-mails, Phone calls, and Video Conferences

Must be detail-oriented and self-motivated

Knowledge of, and strong aptitude in outside plant construction is required

Excellent communication and interpersonal skills are essential; as the position will be required to communicate daily with multiple levels of authority within, and outside of the organization.

College degree and 0-2 years professional level experience; or 4+ years professional level related experience; or an equivalent combination of education and professional level related experience required; valid driver license required; position may require flexible shift work and overtime with approximately 30% travel.

Even Better:

OSP Engineering Knowledge is a plus.

Familiarity with multiple Microsoft Office Applications.

Previous Experience with Windstream systems and applications.

Our Benefits:

Medical, Dental, Vision Insurance Plans

401K Plan

Health & Flexible Savings Account

Life and AD&D, Spousal Life, Child Life Insurance Plans

Educational Assistance Plan

About US:

Windstream Holdings, Inc. is a leading provider of advanced network communications and technology solutions for consumers, small businesses, enterprise organizations and carrier partners across the U.S.

#LI-BG1

IND123

Job Requirements
Minimum Requirements
College degree and 0-3 years professional level experience; or 4 years professional level related experience; or an equivalent combination of education and professional level related experience required.

EEO Statement: Windstream is an equal opportunity employer. At Windstream, we celebrate the authenticity and uniqueness of our people and their ideas. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, genetic information, protected veteran status, current military status, disability, sexual orientation, gender identity, marital status, creed, citizenship status, or any other status protected by law, and to give full consideration to qualified disabled individuals and protected veterans. The diverse voices of our employees fuel our innovation and our inclusive culture. Employment at Windstream is subject to post offer, pre-employment drug testing.",3.4,"Windstream Communications
3.4","Moultrie, GA",10000+ Employees,2006,Company - Private,Telecommunications Services,Telecommunications,$5 to $10 billion (USD)
Business Analyst,Employer Provided Salary:$90K - $95K,"Business Analyst
*Must be local to Austin, TX*
What you'll do:
Gather critical information in the form of user stories, data requirements and story mapping
Support both Technology and the business experts to improve business decision making
Monitoring deliverables and ensuring timely completion of projects
Requirements:
A minimum of 2 years of experience in business analysis
Experience influencing stakeholders and working closely with them to determine solutions
Exceptional analytical and conceptual thinking skills
#IND3
Job Type: Full-time
Pay: $90,000.00 - $95,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Austin, TX: Reliably commute or planning to relocate before starting work (Required)
Experience:
SQL: 1 year (Preferred)
Work Location: One location",4.5,"Proven Recruiting
4.5","Austin, TX",201 to 500 Employees,2007,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
Business Intelligence Analyst,$79K - $108K (Glassdoor est.),"Job Description:
Dow Jones is looking for an Analyst, New Ventures Business Intelligence who will be responsible for analyzing and interpreting data, drawing conclusions, defining recommended actions, and reporting on analytics and trends. In this role, the candidate will support both the New Business Ventures organization and provide business intelligence for Partnerships and Audio/Video functions. A successful candidate will bring excellent strategic thinking, successful implementation of data analytics programs, and demonstrate the ability to deliver insights to help drive the business.
Responsibilities:
Manage the day-to-day operational and tactical aspects of cross-functional projects
Monitor and report on project progress to stakeholders
Create and maintain project plans with interdependencies and a defined critical path
Create and maintain resource plans ensuring effective resource allocation and distribution across portfolio of projects
Utilize project management tools and techniques to improve execution and drive efficiencies
Proactively manage changes in project scope
Effectively create and execute risk management plans
Manage the quality and timely execution of deliverables across projects
Ensure profitable and successful execution of all assigned engagements as measured by KPIs and OKRs
Support strategic and executive presentations/updates (deck creation)
Minumum Qualifications:
Minimum 2 years of industry experience in Business Intelligence, Data Science, or related field with a track record of producing actionable business insights from large datasets
Hands-on experience with SQL and data visualization tools (e.g Tableau, Looker, Power BI, etc.)
Ability to extract meaningful business insights from data and identify the stories behind the patterns
Strong business acumen, verbal and written communication skills and demonstrated technical leadership
Preferred Qualifications:
3 or more years of industry experience in Business Intelligence, Data Science, or related field with a track record of producing actionable business insights from large datasets.
Strong experience with SQL and data visualization tools (e.g Tableau, Looker, Power BI, etc.)
Ability to extract meaningful business insights from data and identify the stories behind the patterns
Strong business acumen, verbal and written communication skills and demonstrated technical leadership
Dow Jones , Making Careers Newsworthy
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets .
Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, please reach out to us at TalentResourceTeam@dowjones.com. Please put “Reasonable Accommodation"" in the subject line.
To enter one of our US based offices: Any offer of employment is contingent on providing proof of Covid-19 vaccination prior to your start date, subject to approved medical and/or religious exemptions, in accordance with applicable law.
Business Area: NEW VENTURES
Job Category: IT Development Group
Union Status:
Union / No clear and likely Internal Candidate (Employee Only) has been identified
Req ID: 34435",4.0,"Dow Jones
4.0","New York, NY",5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$500 million to $1 billion (USD)
"Consultant, Business Intelligence Business Analyst",Employer Provided Salary:$65K - $106K,"Who Are We?
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Compensation Overview
The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.
Salary Range
$64,500.00 - $106,400.00
Target Openings
1
What Is the Opportunity?
Work with business customers to determine how Business Intelligence information and analytic solutions can be leveraged to support business strategies, capabilities, and processes. Accountable for full spectrum of business analysis functions for assigned workflow(s) of smaller to medium scope. This position, under moderate supervision, is responsible for: Eliciting, analyzing, specifying, documenting, communicating and validating business intelligence requirements. Executing user acceptance. Communicating business intelligence requirements to diverse stakeholder groups to create a shared understanding of the business needs. Acting as a liaison on Business Intelligence initiatives between business users and technology team.

Travelers offers a hybrid work location model that is designed to support flexibility.
What Will You Do?
Provides input into determining how requirements will be approached and managed on business intelligence initiatives.
Elicits, analyzes, specifies, documents, communicates and validates business intelligence requirements for assigned workflows.
Analyzes, produces and reviews requirement artifacts that are compliant, audit able, unambiguous, complete, consistent, understood clearly and meet the business and technical needs of the project.
Leads user groups and defines requirements and business processes based on business need/priorities for assigned workflows.
Offers insight and alternatives and obtains consensus among stakeholders. (May require assistance from manager where consensus difficult to reach).
Ensures requirement traceability is established and managed throughout the project life cycle on less complex projects.
Facilitates and utilizes the best practices for user acceptance testing (UAT) including creation, socialization, and execution of UAT plans.
Works with delivery team to design the delivery strategy that fulfills the business requirements.
Responsible for readiness, user adoption, support, including communication, training and roll-out plans on business intelligence solutions.
Responsible for the ongoing rationalization of business intelligence assets to ensure they are providing utmost value for business outcomes, under general supervision.
Offers insight and alternatives to project team.
Point of contact for business throughout and after project implementation.
Executes business intelligence business analyst best practices; provides limited mentoring to less experienced business intelligence analysts on business intelligence best practices.
Responsible for managing and fostering collaborative business and IT relationships.
Understands the business functions, processes, and overall business strategies.
Adheres to all data management practices and governance practices.
Leads small to medium size projects as required.
Perform other duties as assigned.
What Will Our Ideal Candidate Have?
Experience with SQL.
2 years of related experience preferred.
2 years of supporting the development of Business Intelligence solutions preferred.
General understanding of the business functions, processes, and overall business strategies preferred.
Demonstrated intermediate analytic and diagnostic skills.
Demonstrated intermediate interpersonal skills.
Demonstrated intermediate communication and presentation skills
Ability to work independently and as part of a team.
Demonstrated ability to see results to completion.
Intermediate business acumen.
Seeks opportunities to learn.
Intermediate problem solving and decision making skills.
Experience and ability using Business Intelligence tools (as an end user) preferred.
What is a Must Have?
Bachelors degree in STEM (Science, Technology, Engineering, Mathematics), Business or equivalent education required.
1 year analytics experience required.
What Is in It for You?
Health Insurance: Employees and their eligible family members – including spouses, domestic partners, and children – are eligible for coverage from the first day of employment.
Retirement: Travelers matches your 401(k) contributions dollar-for-dollar up to your first 5% of eligible pay, subject to an annual maximum. If you have student loan debt, you can enroll in the Paying it Forward Savings Program. When you make a payment toward your student loan, Travelers will make an annual contribution into your 401(k) account. You are also eligible for a Pension Plan that is 100% funded by Travelers.
Paid Time Off: Start your career at Travelers with a minimum of 20 days Paid Time Off annually, plus nine paid company Holidays.
Wellness Program: The Travelers wellness program is comprised of tools and resources that empower you to achieve your wellness goals. In addition, our Life Balance program provides access to professional counseling services, life coaching and other resources to support your daily life needs. Through Life Balance, you’re eligible for five free counseling sessions with a licensed therapist.
Volunteer Encouragement: We have a deep commitment to the communities we serve and encourage our employees to get involved. Travelers has a Matching Gift and Volunteer Rewards program that enables you to give back to the charity of your choice.
Employment Practices
Travelers is an equal opportunity employer. We value the unique abilities and talents each individual brings to our organization and recognize that we benefit in numerous ways from our differences.

If you are a candidate and have specific questions regarding the physical requirements of this role, please send us an email so we may assist you.

Travelers reserves the right to fill this position at a level above or below the level included in this posting.
To learn more about our comprehensive benefit programs please visit http://careers.travelers.com/life-at-travelers/benefits/.

0",3.9,"The Travelers Companies, Inc.
3.9","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
