Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$127K - $203K (Employer est.),"Overview
Staffing Pros, a division of VETS Inc., is recruiting for a full-time a Data Scientist in Arlington (Rosslyn), VA This position requires an active government security clearance.

Responsibilities
Create, maintain, and refine data models and algorithms used across the Directorate.
Improve visibility and focus of large data sets to improve anomaly detection.
Identify new security monitoring use cases based on available data.
Implement and support user and threat behavior analytics.",-1,"Staffing Pros, a division of VETS-inc.","Arlington, VA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$127K - $203K (Employer est.),"Limetree
When you first saw us, we’re pretty sure you may have thought, “who is Limetree?” Limetree is an Inc. 5000 Fastest Growing Company providing science-driven marketing. We take the best of data science and behavioral science, and then deploy science-based strategies broadly and to specific people. We don’t settle for the status quo. We focus on growth and execution and find people who continuously seek to understand why something works. Whether it’s a deeper dive into results (a word you’ll hear around here quite often) with data or a look into what’s driving consumer decisions with behavioral science, we constantly push for the next level of knowledge and performance for our clients.
Limetree is nimble and dynamic with established success and a strong growth curve. We own a solid financial position with no debt, which allows us to reward our people for delivering excellence to our clients and investing in new marketing innovations. We adhere to the principle that if you do things right, you will grow based on the value you provide to your clients. We have consistently proven that it works year over year.
Data Scientist at Limetree, LLC. (Remote with preference for Dallas, TX, based candidates)
Responsibilities
Requirements",-1,Dallas Limetree LLC,"Dallas, TX",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$127K - $203K (Employer est.),"Automobile company is looking for a Data Scientist with 6+ years of product development and data science. Office is located in the O.C area.
Responsibilities:
· Develop, evaluate, refine, and automate analytic models using data to address business needs, and identify areas of optimization and growth
· Participate in technical design, project planning and lead development of critical projects
· Design, conduct and lead complex analyses that mine, extract, track, report and analyze performance metrics
· Demonstrate best practices by delivering high quality results to business",-1,Staffing By Sabri,"Costa Mesa, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist / Financial Engineer,$127K - $203K (Employer est.),"Roc Search has partnered with a very innovative and well-funded Fintech Start-up, and they're looking for Financial Engineers to build out their team!
They're a specialized provider offering data and analytics solutions for the financial and insurance industries, specifically around index funds.
Skillset:
Data Engineers / Data Scientists with experience in the financial domain – more specifically around math / statistics-based trading logic
Strong Python scripting experience
Experience with PostgreSQL and building APIs
A general understanding of software engineering best practices (version control, GIT, unit testing)",-1,Roc Search,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist - Remote Opportunity,$127K - $203K (Employer est.),"Direct HIre - No C2C, No 3rd Parties - Remote opportunity but will need to travel to Virginia occassionally.

Work and Responsibilities
Weigh the probabilistic outcome of a given marketing lead through our lead funnel, and create an approximate ""lead score"" based on a plethora of data
Help create an ""SDR Score"" and ""Agent Score"" for our folks that are on the frontlines interacting with customers so we can begin to better measure our overall impact based on what SDRs and Agents are available for a given day
Create a control/alternate testing structure for our lead funnel to make sure that the theoretical back tests will work going forward; and to allow continuous improvements over time
Data Scientist 2 Work with the CTO and VP of Engineering to help normalize our data/ETL pipeline for analysis and reporting
Come up with your own solutions/ideas and determining what types of analysis, algorithms, and approaches that we could implement to improve the company
Lead end-to-end process including conception, development, production, deployment, and monitoring of data and machine learning models and services
Required Knowledge, Skills, and Abilities
Prior experience applying machine learning to real-world data problems (targeting, pricing, recommendation, personalization, etc.) and deploying and scaling models into a production environment
Strong fundamentals in algorithms, statistics, and predictive modeling Machine Learning (Supervised, Unsupervised, Deep Learning, Bagging, Boosting techniques)
Excellent Python skills and experience with ML libraries or platforms AWS Cloud Technologies for ML/AI

Benefits
Amazing startup environment with a high growth company
Medical, dental and vision coverage
Supplemental Disability
Retirement plan with company match
Paid time off Participation in the Company's equity incentive plan
Competitive base pay
Ability to work from home",3.8,"Vaco
3.8",Remote,-1,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),-1
Senior Data Scientist (100% Remote),$127K - $203K (Employer est.),"Why you?
You are a mission driven, customer obsessed, natural problem solver. You dig balanced startup life and can wrestle challenges and change with composure. You are a fearless and collaborative communicator, with the ability to make quick decisions while always in learning mode. You love big, interesting problems and bringing solutions to the masses while making sure it feels personal, authentic and connected. If this sounds like you, we'd like to talk.
Why us?
The Mom Project is a pioneering, remote-first venture-backed startup with roots in Chicago. We are backed by some of the best investors in the world and are lucky to be surrounded by an incredible team of advisors, including Serena Williams.
The Mom Project is a platform and community leading a cultural movement that matches companies with diverse talent. To date, our platform has unlocked over $300M in earning potential by connecting our 650,000+ moms, dads and allies with opportunities at world class brands like Apple, Accenture, Etsy and Nike… and we are just getting started!
Our team is growing as we push to rewrite the narrative for working women at every stage of life. We believe all women should be able to choose both a successful family life AND career aspirations without sacrificing one over the other.
The Mom Project's commitment to Diversity, Equity, and Inclusion
We move forward when we all move together.
At The Mom Project, we understand the Moms we serve are not all the same and neither are the employees that support her. We are inspired by people who come from all walks of life.
Equality and inclusion at TMP is recognizing and honoring the uniqueness of each person who works to bring our mission to life, valuing all dimensions of diversity as our greatest asset.
We are committed to being a safe, respectful, fair, and inclusive culture for all.


We’re looking for a Senior Data Scientist to join our team! Our newest team member will lead the development, evaluation, and deployment of our resume-job match engine
Our data science team is full-stack, meaning we own the DS process end-to-end from training models to API deployment. We code in Python, and we use technologies like Docker, Redshift and PyTorch. We work in two-week sprints with daily scrums, bi-weekly planning, demos, and retros.
This role requires machine learning and natural language processing skills, experience using Elasticsearch, and fluent Python.


Collaborate with data scientists, data engineers, product managers, and other TMP personnel to build new ML/AI features into our hiring and career management platform
Lead the development of our NLP-based resume-job description match engine
Work with product managers, data engineers, and solutions architects to scope out requirements for a project
Undertake one-off ad hoc exploratory analyses to inform plans for delivering new AI/ML-based features
Contribute to team’s knowledge and help us come up with the best processes for our team
Advocate for best data practices including thinking about what data we should be collecting
Develop tools to monitor our models and ensure their performance doesn’t degrade
Write production-quality Python code for training, evaluating, deploying, and monitoring machine learning models
Research how best to address particular business requirements using ML/AI techniques, making sure to keep in mind available time and resources


You have 5-10 years experience in software engineering, data engineering, or full-stack data science, ideally using Python
You have solid SQL skills and an ability to gather and prepare the data you need to build match and other machine learning models
You have, or can quickly develop, the capabilities to work as a full-stack data scientist, with an ability to write production-ready Python code, build and evaluate models from scratch, and run exploratory analyses of data
You have an understanding of machine learning approaches including supervised and unsupervised modeling, collaborative filtering, deep learning, and natural language processing
You apply industry best practices for data science projects
You have experience writing production Python code that follows best software engineering practices including writing unit tests and Dockerizing projects
You have a willingness to take on whatever work needed to get our AI/ML capabilities into production
You are humble, curious, and hard-working


Base Compensation
Full medical, dental, vision
Short and Long Term Disability
Generous Paid Parental Leave
Family planning benefits through Progyny
Generous PTO (that people actually use!)
401K match
Career Pathing
Flexibility/Autonomy
Talkspace
Let me see those Perks, Perks, Perks!
An incredible remote team that will support and champion your work
because work should be a place you want to be
Health and Wellness stipend
Learning and Development stipend
Work From Home Stipend
We're just getting started. Join us in building the future of work.",3.7,"The Mom Project
3.7",Remote,-1,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1
Data Scientist,$127K - $203K (Employer est.),"The CISO Cybersecurity Operations Platform (CSOP) team is looking to add an Analytics and Data Exploitation Engineer (or related technical specialist) to the team. The CSOP provides the technology, services and expertise required by our client's Cyber Threat Detection and Response teams. We support the Advanced Threat Detection (threat hunting, intelligence, incident response), Vulnerability Detection and Response, Remediation, Security Operations Centre's and Command Centre's teams to deliver enterprise-wide security to one of the world's most established technology companies. We process tens of billions of events per day and effective analysis and data management are critical to our success.
This position will work as a technical specialist within the Analytics and Data Exploitation team. This team uses a mixture of commercial, open source and in-house developed tools to deliver critical cybersecurity services such as event processing, automation, complex analytics and digital investigations. This role will be working on our dev, test, pre-production and production networks to create, maintain and improve our data processing and analytics capabilities - an important component of which is fault-finding and the ability to work within complex, dynamic environments.",4.0,"Insight Global
4.0",Remote,-1,1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),-1
Machine Learning Engineer (Sr. Data Scientist),$127K - $203K (Employer est.),"Lead, design and implement predictive analytics solutions in a production environment, leveraging a variety of statistical models and machine learning algorithms
Design, develop and deploy reliable solutions for data analysis and customer data delivery using large datasets (using languages such as PySpark, Python, R, SQL, Hive).
Deliver insights and recommendations in succinct and compelling presentations for internal and external customers, including an executive audience
Collaborate effectively with the team and across cross-functional stakeholders on initiatives.
Serve as a subject matter expert on the team for machine learning, data engineering and analytics
Mentor and train junior colleagues",4.5,"Applied Resource Group
4.5",Remote,-1,1 to 50 Employees,2010,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),-1
Senior Data Scientist,$127K - $203K (Employer est.),"Are you looking for an exciting and collaborative environment where you can apply your data science skills to help feed the world responsibly?
We are looking for a Senior Data Scientist to join our cross-disciplinary data science team where we enable innovative discoveries for biological products.
In this role, you will fuel the evolution of data science capabilities to help power our proprietary research engine. As a data science thought leader you will help shape the design and delivery of novel big data analytics, modeling and cloud computing. You will work closely with scientists from different backgrounds and have the opportunity to develop and grow your own knowledge base through collaboration and hands-on project work.
Responsibilities",5.0,"Engtal
5.0",Remote,-1,1 to 50 Employees,2017,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$5 to $25 million (USD),-1
Junior Data Scientist,$127K - $203K (Employer est.),"Junior Data Scientist
Remote
C2H role
Required Qualifications:
Bachelor’s degree in machine learning, computer science, statistics, biomedical informatics, or a related field
1+ years of experience working on hands-on machine learning algorithms
Hands-on experience in implementing and training machine learning algorithms and statistical analysis, including for example non-parametric tests, mixed linear models, modern supervised and unsupervised machine learning algorithm’s such as SVM, random forest, PCA, t-SNE, clustering, and neural networks",4.1,"DISYS - Digital Intelligence Systems
4.1",Remote,-1,1001 to 5000 Employees,1994,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),-1
Statistical Data Scientist,$127K - $203K (Employer est.),"Primary Talent Partners has a 12-month contract for a Senior Data Scientist with large health science client of ours. 100% Remote, must be in the US and work CST hours.
YOUR TASKS AND RESPONSIBILITIES:
Work closely with data science team and business partners to break down complex business problems to build feasible solutions that are impactful, accurate and validated
Design and prototype models using statistical modeling, process modeling, and other techniques such as machine learning
Independently develop algorithms in Python and/or R to clean, process, analyze and visualize large multivariate genetic, environmental, and agronomic datasets
Work with other researchers and scientists to quickly gain domain knowledge and understand business processes",3.9,"Primary Talent Partners
3.9",Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Big Data Scientist - Python,$127K - $203K (Employer est.),"JOB TITLE: Big Data Scientist - Python
LOCATION: Menlo Park, CA
DURATION: 1 Year


Our client, a fortune 500 multi-national technology company is recruiting for a Big Data Scientist - Python. If you meet the qualifications listed, please Apply Now! Or if you know of anyone in your network, please refer them to Ursus!

Summary:
The main function of the Data Scientist is to produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets.

Job Responsibilities:





IND123",4.8,"Ursus, Inc.
4.8","Menlo Park, CA",-1,51 to 200 Employees,2015,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$25 to $100 million (USD),-1
Data Analyst,$127K - $203K (Employer est.),"Must-haves
3+ years of experience as a Data Analyst in an Ecommerce and Digital industry working with large data sets
3+ years of experience in Paid social/paid media
2+ years of experience with Google Analytics or Adobe Analytics AND A/B testing
2+ years of experience with SQL
2+ years of experience visualizing with Tableau or PowerBI
Plusses
Familiar with Machine Learning & Artificial Intelligence technology and concepts
Day-to-Day",4.0,"Insight Global
4.0",Remote,-1,1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),-1
Marketing Data Scientist,$127K - $203K (Employer est.),"Job Title: Marketing Data Scientist
Job Location: Research Triangle Park, NC
Job Duration: 12 Months of Contract for Our Fortune 100 Client.
Job Description
A Marketing Data Scientist is needed at the client to support the Data Strategy & Analytics group.
The Marketing Data Scientist must have particular experience building statistical models in python and utilizing data science packages in python.
Must also have specific experience translating modeling analytics using tableau and PowerBI.",3.8,"Atlas
3.8",Remote,-1,51 to 200 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),-1
Senior Data Analyst - Search Relevancy (100% Remote),$127K - $203K (Employer est.),"The Mom Project is excited to partner with CDW in their search for a Senior Data Analyst - Search Relevancy (100% Remote)
CDW Corporation (CDW) is a leading multi-brand provider of information technology solutions to business, government, education, and healthcare customers in the United States, the United Kingdom, and Canada. A Fortune 500 company and member of the S&P 500 Index, CDW was founded in 1984 and employs approximately 11,000 coworkers. Products and services range from hardware and software to integrated IT solutions such as security, cloud, hybrid infrastructure, and digital experience.
CDW's purpose is to help our customers achieve their goals by providing them with the technology advice and products they need when they need them.
CDW's commitment to diversity includes our coworkers, customers, and communities, as well as our supplier partnerships.
The Data Science and Analytics COE is responsible for leading the creation and development of the overall strategy and direction of data science and advanced analytics at CDW including ensuring continuity and seamless extension of existing programs, the development of a short- and long-term vision, and roadmap, and defining and institutionalizing the role that data and analytics play throughout the organization as the fuel that drives and shapes CDW’s priorities and serves as an accelerant for CDW’s progress.
The Senior Search Relevancy Analyst will play an important role in Data Science and AI to foster value creation from the use of the organization's data assets, as well as the external data ecosystem. The responsibilities include value creation through data discovery, envisioning data-enabled strategies and enabling all forms of business insights and outcomes through analytics. The expectation is to identify and report on search trends and relevancy patterns found within enterprise search data and make recommendations for enterprise and product search improvements.


Analyzes data requirements/data stories and corresponding data sources and data architecture to drive enhancements and understand search metrics and drive relevancy enhancements
Assists Product Owner in the recommendation and prioritization of enhancements to improve Search results/relevancy
Partner with business leaders to understand key objectives to design optimized data products
Collaborate with stakeholders to clarify, prioritize and validate data requirements and business objectives
Lead key and strategic initiatives from concept to product levels, not limited to data analysis, but exploring further industry best practices and data architecture, driving innovative ideas and data research
Leverage general business experience with knowledge to convert high-level business objectives into functional and technical requirements, user stories, and specifications
Facilitate workshops with all the relevant teams including business, technology, compliance, and testing organizations to define the business value, and KPI trees and drive the initiatives
Identify, analyze and interpret trends or patterns in complex data sets
Document business, data, and technical specifications ensuring documentation are kept up to date and relevant
Advise users of business systems on data availability and accuracy
Actively participate in the industry externally through internet research, white papers, and/or conferences.
Utilize advanced modeling techniques to develop high-level system narratives, presentations, storyboards, use cases, and user interface prototypes
Negotiate and facilitate to drive consensus on solution scope and objectives
Maintain macro-view of key processes, application platforms, business requirements, and business functions across the organization
Provide creative thinking and new ideas to resolve existing problems
Provide a structure for evaluating solution options


Bachelor’s or Master’s degree in Information Systems, Computer Science or Business or equivalent experience
5+ years (3+ years with a Master’s degree) of analytics experience, including but not limited to: marketing analysis, market research, sales analysis, eCommerce, financial analysis, econometrics, or statistics


Excellent written and verbal communication skills with the ability to effectively communicate across company and department boundaries at all levels
Experience in leading business analysis teams and managing implementation projects that utilize big data, advanced analytics and machine learning technologies
Ability to cultivate and develop lasting customer relations
Hands-on data analysis with in-depth, hands-on knowledge of foundational data architectures such as data warehouses as well as experience in cloud implementations
Experience with Big Data, Relational databases, streaming, and batch data processing
Strong experience building end-to-end data views
Ability to effectively present information, interact with and respond to questions from managers, employees, customers, and vendors
Demonstrated experience in teaching and/or mentoring professionals
Execute requests with strong attention to detail and strong time-management skills
Passion to evangelize data science, teach others and learn new techniques
Demonstrate influence without authority


Ability to effectively resolve conflict with appropriate escalation
Bachelor’s degree in Business, Math, Engineering, Statistics, Economics, Operation Research, Data Science, Computer Science or related quantitate field


CDW is committed to maintaining a workplace that is free of known hazards and to ensure the safety, health, and well-being of coworkers and candidates for employment and their families, as well as the community.
CDW requires all coworkers to be fully vaccinated against COVID-19, with the only exceptions being a documented, legally required medical or religious accommodation. Prior to starting with CDW, successful candidates will be required to: (i) be fully vaccinated against COVID-19 and provide CDW with proof of full vaccination; or (ii) apply for and receive a medical or religious-based accommodation to be exempt from the mandatory vaccination policy.",3.7,"The Mom Project
3.7",Remote,-1,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1
Data Scientist Analyst,$127K - $203K (Employer est.),"Acara solutions is looking for a Data Scientist Analyst for our client located in Fort Bragg, NC
Perform exploratory research and analysis to identify novel and meaningful patterns in data and uses statistical methods to reject or accept proposed hypotheses about relationships or latent predictive factors discovered through their work to provide business value.
Uses a combination of tools, technologies, and numerical computing systems (GPU processing, distributed computing, highly parallel coding, cloud computing, machine learning, visualization, system modelling and simulation) to achieve results.
Applied statistics, text mining, natural language processing, deep learning, optimization, and other similar fields.
Work on datasets with applied statistics and machine learning algorithms;
Use exploratory data analysis techniques to identify meaningful relationships, patterns, or trends from complex data sets and discover opportunities in datasets to support decision-making;",3.8,"Acara Solutions
3.8","Fort Bragg, NC",-1,10000+ Employees,1957,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1
"Clinical Laboratory Scientist CLS , Medical Data Scientist",$127K - $203K (Employer est.),"An Oncology Research Laboratory in Silicon Valley is actively seeking a Clinical Laboratory Scientist / Medical Data Scientist to join their growing organization.

The Clinical Laboratory Scientist will report to the Laboratory Leader, and will be a member of a growing outpatient laboratory. The CA licensed CLS will be proficient in Chemistry and Hematology, with experience with blood bank as well.

The CLS generalist will be performing high complexity testing for Molecular Diagnostic techniques, including nucleic acid extraction, PCR, genotyping and next generation sequencing. The Clinical Laboratory Scientist will be responsible for participating in reagent and assay quality control and validations as needed. The CLS Generalist will be responsible for evaluating sample integrity and adhering to relevant procedures in cases of unacceptable specimens.

The busy laboratory is supporting a cutting edge genomic testing company for cancer detection and treatment. The company uses diagnostic tests to help find cancer and make informed decisions for better cancer care.

In this role, the Clinical Laboratory Scientist will focus on Data reporting and will be responsible for: evaluation scientific publications & clinical studies and integrating functional effects of genomic variants and their associated diseases. The CLS will be responsible for: updating database with finding, maintaining and updating work flows and protocols, and working with informatics and soft wear team on creating and optimizing work flows.

The Clinical Laboratory Scientist will have the opportunity to live in the San Francisco Bay Area one the nation’s most iconic cities. The region is home to a thriving economy, a booming housing market, numerous public and private universities, beautiful mountains and beaches and endless outdoor activities.

The Oncology Research Laboratory is prepared to offer a healthy work life balance, generous salary, comprehensive benefit package, stock options and a lucrative sign on bonus.",3.7,"Clinical Management Consultants
3.7","Palo Alto, CA",-1,1 to 50 Employees,-1,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1
Data Scientist,$127K - $203K (Employer est.),"Data Scientist
Newark, NJ (Hybrid, must be willing to be in-office)
6-month Contract-to-Hire
We are seeking a talented Data Scientist to join the largest and most established Health Insurance company in the state of New Jersey. As a Data Scientist II, you will have an opportunity to help build the foundation of a state-of-the-art Data Science practice, and will be responsible for implementing, scaling, maintaining, and leveraging the organizations data science technology ecosystem (AI, Machine Learning & Predictive Analytics).
Minimum Qualifications",4.1,"Brooksource
4.1","Newark, NJ",-1,501 to 1000 Employees,2000,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),-1
